source_ticker,backfill_ticker
BIV,VBIIX
BLV,VBLLX
BND,VBMFX
BNDX,VTIFX
BSV,VBISX
EDV,VEDTX
ESGV,VDC
VAIPX,VIPSX
VB,NAESX
VBAIX,VBINX
VBIAX,VBINX
VBILX,VBIIX
VBIMX,VBIIX
VBIPX,VBISX
VBIRX,VBISX
VBITX,VBISX
VBIUX,VBIIX
VBK,VISGX
VBLAX,VBLLX
VBLIX,VBLLX
VBMPX,VBMFX
VBR,VISVX
VBTIX,VBMFX
VBTLX,VBMFX
VCADX,VCAIX
VCDAX,VCR
VCIT,VICBX
VCLAX,VCITX
VCLT,VLCIX
VCOBX,VCORX
VCPAX,VCPIX
VCSAX,VDC
VCSH,VSTBX
VDADX,VIG
VDIPX,VTMGX
VDVIX,VTMGX
VEA,VTMGX
VEDIX,VEDTX
VEGBX,VEMBX
VEIGX,VESGX
VEIRX,VEIPX
VEMAX,VEIEX
VEMIX,VEIEX
VEMPX,VEXMX
VEMRX,VEIEX
VENAX,VDE
VESIX,VEURX
VEUPX,VEURX
VEUSX,VEURX
VEXAX,VEXMX
VEXRX,VEXPX
VFAIX,VFH
VFFSX,VFINX
VFIAX,VFINX
VFIDX,VFICX
VFIJX,VFIIX
VFIRX,VFISX
VFIUX,VFITX
VFSAX,VSS
VFSIX,VFSTX
VFSNX,VSS
VFSUX,VFSTX
VFTAX,VFTNX
VFWAX,VEU
VFWPX,VEU
VFWSX,VEU
VGAVX,VWOB
VGCAX,VGCIX
VGELX,VGENX
VGHAX,VGHCX
VGIAX,VQNPX
VGIVX,VWOB
VGK,VEURX
VGRLX,VNQI
VGRNX,VNQI
VGSLX,VGSIX
VGSNX,VGSIX
VGWAX,VGWLX
VGWIX,VGYAX
VHCAX,VHCOX
VHCIX,VHT
VHYAX,VYM
VIAAX,VIGI
VICSX,VICBX
VIEIX,VEXMX
VIGAX,VIGRX
VIGIX,VIGRX
VIHAX,VYMI
VIIGX,VGIT
VIIIX,VINIX
VIMAX,VMCIX
VIMSX,VMCIX
VINAX,VIS
VIPIX,VIPSX
VITAX,VGT
VITNX,VITPX
VITSX,VTSMX
VIVIX,VIVAX
VLACX,VV
VLCAX,VV
VLGIX,VGLT
VLGSX,VGLT
VLISX,VV
VLTCX,VLCIX
VMBIX,VMBS
VMBSX,VMBS
VMCPX,VMCIX
VMCTX,MGC
VMFGX,IVOG
VMFVX,IVOV
VMGAX,MGK
VMGIX,VOT
VMGMX,VOT
VMIAX,VAW
VMLUX,VMLTX
VMNFX,VMNIX
VMNVX,VMVFX
VMSAX,VMSIX
VMVAX,VOE
VMVIX,VOE
VMVLX,MGV
VNJUX,VNJTX
VNQ,VGSIX
VNYUX,VNYTX
VO,VMCIX
VOO,VFINX
VPADX,VPACX
VPALX,VPAIX
VPKIX,VPACX
VPL,VPACX
VPMAX,VPMCX
VRGWX,VONG
VRNIX,VONE
VRTGX,VTWG
VRTIX,VTWO
VRTTX,VTHR
VRTVX,VTWV
VRVIX,VONV
VSBIX,VGSH
VSBSX,VGSH
VSCIX,NAESX
VSCPX,NAESX
VSCSX,VSTBX
VSEMX,VEXMX
VSGAX,VISGX
VSGDX,VSGBX
VSGIX,VISGX
VSIAX,VISVX
VSIBX,VTIFX
VSIGX,VGIT
VSIIX,VISVX
VSMAX,NAESX
VSMPX,VTSMX
VSMSX,VIOO
VSMVX,VIOV
VSPGX,VOOG
VSPMX,IVOO
VSPVX,VOOV
VSTSX,VTSMX
VTABX,VTIFX
VTAPX,VTIP
VTBNX,VTBIX
VTBSX,VBMFX
VTCAX,VOX
VTCIX,VTCLX
VTEAX,VTEB
VTI,VTSMX
VTIAX,VGTSX
VTIBX,VTIFX
VTIIX,VWELX
VTILX,VWELX
VTIPX,VTIP
VTISX,VGTSX
VTMNX,VTMGX
VTPSX,VGTSX
VTSAX,VTSMX
VTSIX,VTMSX
VTSNX,VGTSX
VTSPX,VTIP
VTV,VIVAX
VTWAX,VT
VTWIX,VT
VUBFX,VPCCX
VUG,VIGRX
VUIAX,VPU
VUSFX,VPCCX
VUSUX,VUSTX
VVIAX,VIVAX
VWALX,VWAHX
VWEAX,VWEHX
VWENX,VWELX
VWETX,VWESX
VWIAX,VWINX
VWICX,VZICX
VWILX,VWIGX
VWIUX,VWITX
VWLUX,VWLTX
VWNAX,VWNFX
VWNEX,VWNDX
VWO,VEIEX
VWSUX,VWSTX
VWUAX,VWUSX
VXF,VEXMX
VXUS,VGTSX
